X,Y,Z
37.083066,-83.521819,41
37.105589,-83.51846,40
37.061913,-83.541344,70
37.01865,-83.540052,46
37.039621,-83.471851,38
37.059016,-83.525057,54
37.347589,-83.564658,285
37.344815,-83.562936,52
37.34916,-83.560468,552
37.139761,-83.591146,115
37.134375,-83.593758,115
37.128744,-83.581438,96
37.268268,-83.652483,201.5
37.096885,-83.557425,359.1
37.069856,-83.539046,401.8
37.251728,-83.613972,174
37.242649,-83.53254,124.6
37.242246,-83.550802,685
37.191065,-83.590338,112.9
37.191615,-83.592323,157.5
37.140992,-83.592663,254.6
37.047848,-83.543043,476.5
37.357119,-83.593277,209
37.299904,-83.693661,38
37.371987,-83.619724,38
37.005268,-83.527645,38
